"Variable","metric","p","pipeline"
"R.Hippocampus","rocauc",0.933066933066933,"GBM_Unadjusted"
"R.Amygdala","rocauc",0.529470529470529,"GBM_Unadjusted"
"R.Accumbens.area","rocauc",0.413586413586414,"GBM_Unadjusted"
"R.VentralDC","rocauc",0.137862137862138,"GBM_Unadjusted"
"L.Thalamus.Proper","D",0.346653346653347,"GBM_Unadjusted"
"L.Caudate","D",0.186813186813187,"GBM_Unadjusted"
"L.Putamen","D",0.281718281718282,"GBM_Unadjusted"
"L.Pallidum","D",0.300699300699301,"GBM_Unadjusted"
"L.Hippocampus","D",0.030969030969031,"GBM_Unadjusted"
"L.Amygdala","D",0.424575424575425,"GBM_Unadjusted"
"L.Accumbens.area","D",0.786213786213786,"GBM_Unadjusted"
"L.VentralDC","D",0.355644355644356,"GBM_Unadjusted"
"R.Thalamus.Proper","D",0.270729270729271,"GBM_Unadjusted"
"R.Caudate","D",0.224775224775225,"GBM_Unadjusted"
"R.Putamen","D",0.568431568431568,"GBM_Unadjusted"
"R.Pallidum","D",0.561438561438561,"GBM_Unadjusted"
"R.Hippocampus","D",0.354645354645355,"GBM_Unadjusted"
"R.Amygdala","D",0.43956043956044,"GBM_Unadjusted"
"R.Accumbens.area","D",0.318681318681319,"GBM_Unadjusted"
"R.VentralDC","D",0.341658341658342,"GBM_Unadjusted"
"L.Thalamus.Proper","rocauc",0.646353646353646,"GLM_AgeSexAdjusted"
"L.Caudate","rocauc",0.00599400599400599,"GLM_AgeSexAdjusted"
"L.Putamen","rocauc",0.834165834165834,"GLM_AgeSexAdjusted"
"L.Pallidum","rocauc",0.0839160839160839,"GLM_AgeSexAdjusted"
"L.Hippocampus","rocauc",0.001998001998002,"GLM_AgeSexAdjusted"
"L.Amygdala","rocauc",0.884115884115884,"GLM_AgeSexAdjusted"
"L.Accumbens.area","rocauc",0.941058941058941,"GLM_AgeSexAdjusted"
"L.VentralDC","rocauc",0.33966033966034,"GLM_AgeSexAdjusted"
"R.Thalamus.Proper","rocauc",0.105894105894106,"GLM_AgeSexAdjusted"
"R.Caudate","rocauc",0.989010989010989,"GLM_AgeSexAdjusted"
"R.Putamen","rocauc",0.371628371628372,"GLM_AgeSexAdjusted"
"R.Pallidum","rocauc",0.583416583416583,"GLM_AgeSexAdjusted"
"R.Hippocampus","rocauc",0.775224775224775,"GLM_AgeSexAdjusted"
"R.Amygdala","rocauc",0.642357642357642,"GLM_AgeSexAdjusted"
"R.Accumbens.area","rocauc",0.040959040959041,"GLM_AgeSexAdjusted"
"R.VentralDC","rocauc",0.0739260739260739,"GLM_AgeSexAdjusted"
"L.Thalamus.Proper","D",0.451548451548452,"GLM_AgeSexAdjusted"
"L.Caudate","D",0.291708291708292,"GLM_AgeSexAdjusted"
"L.Putamen","D",0.825174825174825,"GLM_AgeSexAdjusted"
"L.Pallidum","D",0.24975024975025,"GLM_AgeSexAdjusted"
"L.Hippocampus","D",0.036963036963037,"GLM_AgeSexAdjusted"
"L.Amygdala","D",0.75024975024975,"GLM_AgeSexAdjusted"
"L.Accumbens.area","D",0.714285714285714,"GLM_AgeSexAdjusted"
"L.VentralDC","D",0.386613386613387,"GLM_AgeSexAdjusted"
"R.Thalamus.Proper","D",0.168831168831169,"GLM_AgeSexAdjusted"
"R.Caudate","D",0.924075924075924,"GLM_AgeSexAdjusted"
"R.Putamen","D",0.223776223776224,"GLM_AgeSexAdjusted"
"R.Pallidum","D",0.688311688311688,"GLM_AgeSexAdjusted"
"R.Hippocampus","D",0.742257742257742,"GLM_AgeSexAdjusted"
"R.Amygdala","D",0.855144855144855,"GLM_AgeSexAdjusted"
"R.Accumbens.area","D",0.450549450549451,"GLM_AgeSexAdjusted"
"R.VentralDC","D",0.248751248751249,"GLM_AgeSexAdjusted"
"L.Thalamus.Proper","rocauc",0.83016983016983,"GLM_AllAdjusted"
"L.Caudate","rocauc",0.011988011988012,"GLM_AllAdjusted"
"L.Putamen","rocauc",0.973026973026973,"GLM_AllAdjusted"
"L.Pallidum","rocauc",0.223776223776224,"GLM_AllAdjusted"
